commit_id,lines_added,lines_removed,lines_modified,lines_changed,files_changed,commit_role,project,dataset_source
8cf6848f4d4d4917a4551c9aa49dc00f699eb569,509,10,34,553,3,VFC,hawtio,TOSEM
fb3c03549e0c06dedef5eb97e8a1965369689fe1,245,24,11,280,6,VIC,hawtio,TOSEM
a34f55fc97a81966faf21e3ae404ec24f1f31cf7,4,2,7,13,3,VFC,uaa,TOSEM
bb8ff8f4e8969b46fdacffcd27781d223c8c7244,142,7,0,149,3,VIC,uaa,TOSEM
6808b11cd6d97c71a2eed754ed4f955acd789086,2,0,1,3,1,VFC,core,TOSEM
8e413202fa1af08c09c580f444e4fd16874f9c65,36,12,25,73,3,VFC,core,TOSEM
c3179e839d2f031efac7545bfd259fa31a3bcdcb,183,37,26,246,9,VIC,core,TOSEM
4a4dc99c7b259646ee5e23b7aaa7c3a8bac959c1,0,0,3,3,1,VFC,transport-http,TOSEM
f57401801f2ec31e4beefa2f81adfe431e5398e3,2312,0,0,2312,28,VIC,transport-http,TOSEM
09147ffad2b3046ed21af0f524c5088e2ac551e,5,1,2,8,1,VFC,struts,TOSEM
bd3f2f59c9b09f70aed3ebab6bb69b464ee2d6c,1,2,1,4,1,VFC,struts,TOSEM
dae026a0f0511f83852053bae9d5a622e7f8048,15,1,1,17,2,VFC,struts,TOSEM
dbc620f84ffb626c6e6738afe0578d617a2b3d3,4,0,2,6,1,VFC,struts,TOSEM
93866341ec5396d07b5829be55110ff09dc81bc,14,0,1,15,2,VFC,struts,TOSEM
c01d3a92db7f71f751a0522912d24bcf4a94a1b0,50494,0,0,50494,540,VIC,struts,TOSEM
18e86b6f8bea7326934109aa9ffa705ebf4bde90,22,18,12,52,4,VFC,noise-java,TOSEM
0d93e22b4180cd1fa889d543c548b8b0264f8cdf,271,2,4,277,2,VIC,noise-java,TOSEM
942e09b71eef5bd9fdb1c8711125c4bc1193bcdc,182,9,6,197,4,VFC,hbase,TOSEM
948d0cdec4fb35d70404b9b6e27743616400656d,7585,0,0,7585,26,VIC,hbase,TOSEM
7576274874deeccb6da6b09a8d5bd62e8b5538b7,3,1,0,4,1,VFC,spring-framework,TOSEM
ed3823b045fd19cdb801609eb034c93dd4d75c3f,604,23,48,675,8,VIC,spring-framework,TOSEM
e19a20,12,23,3,38,3,VFC,tomcat,TOSEM
1ecba1,12,23,3,38,3,VFC,tomcat,TOSEM
ab72a1,12,23,3,38,3,VFC,tomcat,TOSEM
a84fabcbc6fee8a69253ad92a304b4718e96a7c9,253638,0,0,253638,828,VIC,tomcat,TOSEM
930a1c81f8ea4952df540f041befbfa2d6757838,34,5,0,39,2,VFC,itext7,TOSEM
050687b386acfc1c27d3826d0a9936a3f042b09e,1670,1,60,1731,11,VIC,itext7,TOSEM
a0bbf1e7da158ae191582f032343c6171e6a0b44,10,0,2,12,2,VFC,paho.mqtt.java,TOSEM
176f6fc0b83eefc4e196370e9d12775c99b711ea,38,0,0,38,3,VIC,paho.mqtt.java,TOSEM
42ec5f97f6af3f8c91822fcc0da1f19bc9b5b9b1,346,0,0,346,4,VIC,cryptacular,TOSEM
b597f7a865a527a84ee3d6937075cfbb4470ed20,140,8,13,161,3,VFC,armeria,TOSEM
8a003bf4984c233b33e0e8b686c68deb2164c0b3,18,5,24,47,12,VIC,armeria,TOSEM
58cdbbef9c77ab2b44870f9d606593b49cde76d9,30,0,3,33,6,VFC,tomee,TOSEM
86267a2346e3517482282a38e8bc7d167c039963,68,112,43,223,4,VIC,tomee,TOSEM
157febfdebfd63708233b492f3271ceb1bd1eafc,25,2,2,29,3,VFC,uaa,TOSEM
cd942abfb08004766db8b9f553774fc1c08b69d5,6,0,25,31,1,VIC,uaa,TOSEM
e5647554e6801a522c508a8eb457979a9af8c398,41,1,0,42,1,VFC,activemq-apollo,TOSEM
588c6b5e9e6beb8e5b35584051f942473648c66d,2186,64,61,2311,86,VIC,activemq-apollo,TOSEM
6a79d35d6654d895d0a4b73b3a9282ec9aaeeb06,0,0,1,1,1,VFC,commons-imaging,TOSEM
c659a6007b258f3e2afc57cf2b4c4c5eb03fce74,1689,33,35,1757,13,VIC,commons-imaging,TOSEM
49a3f0a11d41f7124b893a08dc9e67594c32e2e,16,4,8,28,5,VFC,lucene-solr,TOSEM
b52bf267c7aa528b282d09c637344650f903495,16,4,8,28,5,VFC,lucene-solr,TOSEM
49a3f0a11d41f7124b893a08dc9e67594c32e2ee,16,4,8,28,5,VIC,lucene-solr,TOSEM
74e26830d2849a84729b33497f729e0f033dc147,1,0,0,1,1,VFC,struts,TOSEM
bfbc4c04e007393986f374a02dfb7ded23bc9a05,93,88,2,183,2,VIC,struts,TOSEM
b2d4fec3617c497c5a8eb9c7e5270e0c7db293ee,3,0,0,3,1,VFC,spring-security,TOSEM
134686ef7185d3f96fec953136ab4847cd36b68,0,31,0,31,1,VFC,wicket,TOSEM
a8ce4435e3ffe9985116999f8dfae1b883548acf,0,138,2,140,5,VFC,che,TOSEM
a8ce4435e3ffe9985116999f8dfae1b883548acf,0,138,2,140,5,VIC,che,TOSEM
e62aa0252dfcf34dff0c3a9c51265b1d0f9dfc9f,150,68,9,227,5,VFC,nifi,TOSEM
528b82634f528468970eaa655c0085b1c9592b71,1055,2,3,1060,11,VIC,nifi,TOSEM
9730cd6a3bbb481ee4e400b51952b537589c469d,133,3,7,143,7,VFC,uaa,TOSEM
7c0eaea07e8b91c21f8c188545db1b4e653c6cd8,7,0,2,9,1,VIC,uaa,TOSEM
44e4fbf1d0f6db295df34601972741d4cf706cbd,58,29,48,135,1,VFC,androidsvg,TOSEM
1c9dcb152130b0b8de59f9df4256fa349c695f25,274,41,261,576,4,VIC,androidsvg,TOSEM
2d399aa6062fccd6af496bd776314d1944f7090,25,0,1,26,2,VFC,camel,TOSEM
53185f0b221b899aacb3c379647a866a8f408a8,0,1,0,1,1,VFC,camel,TOSEM
5e1d70c6957703cdebbfe5d796462e5a89c8bc2,25,0,1,26,2,VFC,camel,TOSEM
f337a98e86ef18611b14570e6780053fe3ddcc0,0,1,0,1,1,VFC,camel,TOSEM
68f2de31b7752bd49b7898d7098b3bfe8e0d0bd,0,1,0,1,1,VFC,camel,TOSEM
a8a2b8c0a37e348981a4cf41fd2b329b6079f40,25,0,1,26,2,VFC,camel,TOSEM
05ff65d5cebf1fa5172c59dd16359ed583c099c,0,1,0,1,1,VFC,camel,TOSEM
5b64969d37cf2906efd4623cfd473041ce5132f,25,0,1,26,2,VFC,camel,TOSEM
15a1f10fb532bdcba184cda17be602a2358bd5e,0,1,0,1,1,VFC,camel,TOSEM
e030f6665db037a2f73f30b9125fb770f29a7bd,25,0,1,26,2,VFC,camel,TOSEM
f7db8aa81be1e0339a41de1ead9276174bcbe9a5,41,0,15,56,4,VIC,camel,TOSEM
b091934f9e98568b848d0584a1145c8e514cbd21,67,0,10,77,4,VFC,lucene-solr,TOSEM
7bf019a9c2779368133850f141174febede6ad96,1016,35,48,1099,17,VIC,lucene-solr,TOSEM
a519819c9a3a9beed3721b043711bb1eb5c07897,44,2,2,48,2,VFC,carbon-analytics-common,TOSEM
7f9e44c0ee709f80badb39bb32c1de386a05f837,39179,0,0,39179,354,VIC,carbon-analytics-common,TOSEM
a8018783373ff5e5210225069c9919e071597d5e,20,0,6,26,2,VFC,shiro,TOSEM
d2f053733eabf5c1587a9e5e9fb642d554fb5fed,2054,366,89,2509,19,VIC,shiro,TOSEM
c9cd1e521673ef0cccb8795b78d3cbaefb8a576a,55,1,2,58,2,VFC,Openfire,TOSEM
74da47c604b38afe5c8754d30bf1fc39a58b1bdc,79,17,8,104,1,VIC,Openfire,TOSEM
6d7d192e4799b51931e55217e02baec14d49607,5,0,0,5,1,VFC,hadoop,TOSEM
cedc28d4ab2a27ba47e15ab2711218d96ec88d2,12,1,2,15,1,VFC,hadoop,TOSEM
745f203e577bacb35b042206db94615141fa5e6,17,1,0,18,1,VFC,hadoop,TOSEM
e3236a9680709de7a95ffbc11b20e1bdc95a860,10,0,0,10,1,VFC,hadoop,TOSEM
11a425d11a329010d0ff8255ecbcd1eb51b642e,10,0,0,10,1,VFC,hadoop,TOSEM
fc4c20fc3469674cb584a4fb98bac7e3c2277c9,17,1,0,18,1,VFC,hadoop,TOSEM
12258c7cff8d32710fbd8b9088a930e3ce27432,12,1,2,15,1,VFC,hadoop,TOSEM
1373e3d8ad60e4da721a292912cb69243bfdf47,12,1,2,15,1,VFC,hadoop,TOSEM
6a4ae6f6eeed1392a4828a5721fa1499f65bdde,5,0,0,5,1,VFC,hadoop,TOSEM
45a1c680c276c4501402f7bc4cebcf85a6fbc7f,12,1,2,15,1,VFC,hadoop,TOSEM
eaa2b8035b584dfcf7c79a33484eb2dffd3fdb1,5,0,0,5,1,VFC,hadoop,TOSEM
65e55097da2bb3f2fbdf9ba1946da25fe58bec9,5,0,0,5,1,VFC,hadoop,TOSEM
bd98d4e77cf9f7b2f4b1afb4d5e5bad0f6b2fde,12,1,1,14,1,VFC,hadoop,TOSEM
5128a9a453d64bfe1ed978cf9ffed27985eeef36,64842,0,0,64842,331,VIC,hadoop,TOSEM
edba32b3093703d5e9ed42b5b8ec23ecc1998398,149,5,13,167,8,VFC,spring-framework,TOSEM
03582973d74b30eba4b00be50189258b2d843bad,5447,0,0,5447,55,VIC,spring-framework,TOSEM
5dcc19215827db29c993d0305ee2b0d8dd05939d,134,0,6,140,5,VFC,logging-log4j2,TOSEM
ee87a184c7ccbfe03234782ebd6cc76c954a4a3c,233,82,30,345,4,VIC,logging-log4j2,TOSEM
5bc4e6,38,1,0,39,1,VFC,tomcat,TOSEM
7f0221,38,1,0,39,1,VFC,tomcat,TOSEM
d43c68c0126306021a12afbfe7876a36612fbbc3,12,29,18,59,1,VFC,wicket,TOSEM
9f8f2f2f5f7df873061679c80edd151c94afdd38,329,45,51,425,1,VIC,wicket,TOSEM
20e26226107f3133c87d0f5c845e02f824823f69,364,3,22,389,6,VFC,camel,TOSEM
6b979d07fd4be6ac913368f2abeae690d3325d37,2,0,2,4,1,VFC,camel,TOSEM
dcb5a74a3987d2264ad195c7844bbb6c81216610,26,0,0,26,1,VFC,camel,TOSEM
